cvegeo	llamadas_hidroproblemas
0900200010010	4
0900200010010	4
0900200010025	2
0900200010025	2
090020001003A	2
090020001003A	2
0900200010044	6
0900200010044	6
0900200010097	4
0900200010097	4
0900200010129	2
0900200010129	2
0900200010148	2
0900200010148	2
0900200010167	2
0900200010167	2
0900200010190	2
0900200010190	2
0900200010311	2
0900200010311	2
0900200010326	4
0900200010326	4
0900200010345	2
0900200010345	2
090020001035A	2
090020001035A	2
0900200010379	2
0900200010379	2
0900200010434	2
0900200010434	2
0900200010472	4
0900200010472	4
0900200010504	2
0900200010504	2
0900200010542	2
0900200010542	2
0900200010580	4
0900200010580	4
0900200010595	6
0900200010595	6
0900200010608	2
0900200010608	2
0900200010650	2
0900200010650	2
0900200010665	2
0900200010665	2
0900200010684	10
0900200010684	10
0900200010701	2
0900200010701	2
0900200010716	4
0900200010716	4
0900200010788	2
0900200010788	2
090020001081A	2
090020001081A	2
0900200010824	2
0900200010824	2
0900200010839	2
0900200010839	2
0900200010858	2
0900200010858	2
0900200010877	4
0900200010877	4
0900200010881	4
0900200010881	4
0900200010966	2
0900200010966	2
0900200010970	2
0900200010970	2
0900200011023	6
0900200011023	6
0900200011042	2
0900200011042	2
0900200011095	4
0900200011095	4
0900200011112	2
0900200011112	2
0900200011127	2
0900200011127	2
0900200011165	2
0900200011165	2
0900300010018	6
0900300010018	6
0900300010022	10
0900300010022	10
0900300010037	4
0900300010037	4
0900300010041	4
0900300010041	4
0900300010056	2
0900300010056	2
0900300010060	2
0900300010060	2
0900300010075	4
0900300010075	4
090030001008A	4
090030001008A	4
0900300010094	2
0900300010094	2
0900300010111	10
0900300010111	10
0900300010126	2
0900300010126	2
0900300010130	2
0900300010130	2
0900300010145	8
0900300010145	8
090030001015A	10
090030001015A	10
0900300010164	6
0900300010164	6
0900300010179	2
0900300010179	2
0900300010183	2
0900300010183	2
0900300010198	2
0900300010198	2
0900300010200	4
0900300010200	4
0900300010215	4
0900300010215	4
0900300010234	2
0900300010234	2
0900300010249	2
0900300010249	2
0900300010268	2
0900300010268	2
0900300010272	2
0900300010272	2
0900300010287	4
0900300010287	4
0900300010291	6
0900300010291	6
0900300010319	4
0900300010319	4
0900300010323	8
0900300010323	8
0900300010380	2
0900300010380	2
0900300010395	4
0900300010395	4
0900300010412	6
0900300010412	6
0900300010427	8
0900300010427	8
0900300010450	2
0900300010450	2
0900300010465	4
0900300010465	4
0900300010499	4
0900300010499	4
0900300010516	2
0900300010516	2
0900300010535	2
0900300010535	2
0900300010554	2
0900300010554	2
090030001061A	2
090030001061A	2
0900300010643	2
0900300010643	2
0900300010658	6
0900300010658	6
0900300010677	4
0900300010677	4
0900300010681	2
0900300010681	2
0900300010696	10
0900300010696	10
0900300010713	8
0900300010713	8
0900300010728	4
0900300010728	4
0900300010770	6
0900300010770	6
0900300010785	6
0900300010785	6
090030001079A	2
090030001079A	2
0900300010817	6
0900300010817	6
0900300010836	2
0900300010836	2
0900300010855	4
0900300010855	4
090030001086A	2
090030001086A	2
0900300010893	6
0900300010893	6
0900300010906	2
0900300010906	2
0900300010959	2
0900300010959	2
0900300010963	2
0900300010963	2
0900300010997	4
0900300010997	4
0900300011001	4
0900300011001	4
0900300011020	6
0900300011020	6
0900300011069	2
0900300011069	2
0900300011073	2
0900300011073	2
0900300011092	2
0900300011092	2
0900300011105	16
0900300011105	16
0900300011124	16
0900300011124	16
0900300011158	2
0900300011158	2
0900300011213	6
0900300011213	6
0900300011232	2
0900300011232	2
0900300011266	2
0900300011266	2
090030001129A	2
090030001129A	2
0900300011374	2
